AD  AND 020 ISO 3166-2:AD    安道尔
AE  ARE 784 ISO 3166-2:AE    阿联酋
AF  AFG 004 ISO 3166-2:AF    阿富汗
AG  ATG 028 ISO 3166-2:AG    安提瓜和巴布达
AI  AIA 660 ISO 3166-2:AI    安圭拉
AL  ALB 008 ISO 3166-2:AL    阿尔巴尼亚
AM  ARM 051 ISO 3166-2:AM    亚美尼亚
AO  AGO 024 ISO 3166-2:AO    安哥拉
AQ  ATA 010 ISO 3166-2:AQ    南极洲
AR  ARG 032 ISO 3166-2:AR    阿根廷
AS  ASM 016 ISO 3166-2:AS    美属萨摩亚
AT  AUT 040 ISO 3166-2:AT    奥地利
AU  AUS 036 ISO 3166-2:AU    澳大利亚
AW  ABW 533 ISO 3166-2:AW    阿鲁巴
AX  ALA 248 ISO 3166-2:AX    奥兰
AZ  AZE 031 ISO 3166-2:AZ    阿塞拜疆
BA  BIH 070 ISO 3166-2:BA    波斯尼亚和黑塞哥维那
BB  BRB 052 ISO 3166-2:BB    巴巴多斯
BD  BGD 050 ISO 3166-2:BD    孟加拉国
BE  BEL 056 ISO 3166-2:BE    比利时
BF  BFA 854 ISO 3166-2:BF    布基纳法索
BG  BGR 100 ISO 3166-2:BG    保加利亚
BH  BHR 048 ISO 3166-2:BH    巴林
BI  BDI 108 ISO 3166-2:BI    布隆迪
BJ  BEN 204 ISO 3166-2:BJ    贝宁
BL  BLM 652 ISO 3166-2:BL    圣巴泰勒米
BM  BMU 060 ISO 3166-2:BM    百慕大
BN  BRN 096 ISO 3166-2:BN    文莱
BO  BOL 068 ISO 3166-2:BO    玻利维亚
BQ  BES 535 ISO 3166-2:BQ    加勒比荷兰
BR  BRA 076 ISO 3166-2:BR    巴西
BS  BHS 044 ISO 3166-2:BS    巴哈马
BT  BTN 064 ISO 3166-2:BT    不丹
BV  BVT 074 ISO 3166-2:BV    布韦岛
BW  BWA 072 ISO 3166-2:BW    博茨瓦纳
BY  BLR 112 ISO 3166-2:BY    白俄罗斯
BZ  BLZ 084 ISO 3166-2:BZ    伯利兹
CA  CAN 124 ISO 3166-2:CA    加拿大
CC  CCK 166 ISO 3166-2:CC    科科斯（基林）群岛
CD  COD 180 ISO 3166-2:CD    刚果（金）
CF  CAF 140 ISO 3166-2:CF    中非
CG  COG 178 ISO 3166-2:CG    刚果（布）
CH  CHE 756 ISO 3166-2:CH    瑞士
CI  CIV 384 ISO 3166-2:CI    科特迪瓦
CK  COK 184 ISO 3166-2:CK    库克群岛
CL  CHL 152 ISO 3166-2:CL    智利
CM  CMR 120 ISO 3166-2:CM    喀麦隆
CN  CHN 156 ISO 3166-2:CN    中国
CO  COL 170 ISO 3166-2:CO    哥伦比亚
CR  CRI 188 ISO 3166-2:CR    哥斯达黎加
CU  CUB 192 ISO 3166-2:CU    古巴
CV  CPV 132 ISO 3166-2:CV    佛得角
CW  CUW 531 ISO 3166-2:CW    库拉索
CX  CXR 162 ISO 3166-2:CX    圣诞岛
